Notes,Race,Race Code,Cancer Sites,Cancer Sites Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,50-54 years,50-54,Male,M,277
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,55-59 years,55-59,Female,F,138
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,55-59 years,55-59,Male,M,427
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,60-64 years,60-64,Female,F,181
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,60-64 years,60-64,Male,M,552
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,65-69 years,65-69,Female,F,213
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,65-69 years,65-69,Male,M,722
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,70-74 years,70-74,Female,F,186
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,70-74 years,70-74,Male,M,682
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,75-79 years,75-79,Female,F,188
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,75-79 years,75-79,Male,M,616
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,80-84 years,80-84,Female,F,157
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,80-84 years,80-84,Male,M,428
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,85+ years,85,Female,F,134
,American Indian or Alaska Native,1002-5,"Urinary Bladder, invasive and in situ",29010,85+ years,85,Male,M,325
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,1-4 years,1-4,Female,F,44
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,1-4 years,1-4,Male,M,41
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,5-9 years,5-9,Female,F,21
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,20-24 years,20-24,Female,F,17
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,25-29 years,25-29,Female,F,37
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,25-29 years,25-29,Male,M,45
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,30-34 years,30-34,Female,F,107
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,30-34 years,30-34,Male,M,116
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,35-39 years,35-39,Female,F,183
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,35-39 years,35-39,Male,M,254
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,40-44 years,40-44,Female,F,283
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,40-44 years,40-44,Male,M,445
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,45-49 years,45-49,Female,F,418
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,45-49 years,45-49,Male,M,693
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,50-54 years,50-54,Female,F,557
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,50-54 years,50-54,Male,M,929
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,55-59 years,55-59,Female,F,663
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,55-59 years,55-59,Male,M,1088
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,60-64 years,60-64,Female,F,723
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,60-64 years,60-64,Male,M,1138
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,65-69 years,65-69,Female,F,646
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,65-69 years,65-69,Male,M,989
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,70-74 years,70-74,Female,F,513
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,70-74 years,70-74,Male,M,816
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,75-79 years,75-79,Female,F,359
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,75-79 years,75-79,Male,M,503
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,80-84 years,80-84,Female,F,202
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,80-84 years,80-84,Male,M,257
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,85+ years,85,Female,F,140
,American Indian or Alaska Native,1002-5,Kidney and Renal Pelvis,29020,85+ years,85,Male,M,167
,American Indian or Alaska Native,1002-5,Ureter,29030,65-69 years,65-69,Female,F,16
,American Indian or Alaska Native,1002-5,Ureter,29030,70-74 years,70-74,Male,M,16
,American Indian or Alaska Native,1002-5,Eye and Orbit,30000,< 1 year,1,Male,M,17
,American Indian or Alaska Native,1002-5,Eye and Orbit,30000,1-4 years,1-4,Female,F,17
,American Indian or Alaska Native,1002-5,Eye and Orbit,30000,55-59 years,55-59,Female,F,17
,American Indian or Alaska Native,1002-5,Eye and Orbit,30000,55-59 years,55-59,Male,M,20
,American Indian or Alaska Native,1002-5,Eye and Orbit,30000,60-64 years,60-64,Female,F,19
,American Indian or Alaska Native,1002-5,Eye and Orbit,30000,70-74 years,70-74,Male,M,24
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,< 1 year,1,Female,F,19
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,< 1 year,1,Male,M,16
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,1-4 years,1-4,Female,F,59
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,1-4 years,1-4,Male,M,88
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,5-9 years,5-9,Female,F,71
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,5-9 years,5-9,Male,M,104
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,10-14 years,10-14,Female,F,59
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,10-14 years,10-14,Male,M,80
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,15-19 years,15-19,Female,F,59
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,15-19 years,15-19,Male,M,66
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,20-24 years,20-24,Female,F,41
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,20-24 years,20-24,Male,M,59
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,25-29 years,25-29,Female,F,81
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,25-29 years,25-29,Male,M,83
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,30-34 years,30-34,Female,F,66
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,30-34 years,30-34,Male,M,100
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,35-39 years,35-39,Female,F,76
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,35-39 years,35-39,Male,M,84
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,40-44 years,40-44,Female,F,79
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,40-44 years,40-44,Male,M,90
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,45-49 years,45-49,Female,F,79
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,45-49 years,45-49,Male,M,102
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,50-54 years,50-54,Female,F,89
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,50-54 years,50-54,Male,M,116
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,55-59 years,55-59,Female,F,118
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,55-59 years,55-59,Male,M,142
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,60-64 years,60-64,Female,F,93
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,60-64 years,60-64,Male,M,122
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,65-69 years,65-69,Female,F,104
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,65-69 years,65-69,Male,M,135
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,70-74 years,70-74,Female,F,71
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,70-74 years,70-74,Male,M,100
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,75-79 years,75-79,Female,F,66
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,75-79 years,75-79,Male,M,95
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,80-84 years,80-84,Female,F,38
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,80-84 years,80-84,Male,M,51
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,85+ years,85,Female,F,31
,American Indian or Alaska Native,1002-5,Brain and Other Nervous System,31010-31040,85+ years,85,Male,M,25
,American Indian or Alaska Native,1002-5,Brain,31010,< 1 year,1,Female,F,16
,American Indian or Alaska Native,1002-5,Brain,31010,1-4 years,1-4,Female,F,45
,American Indian or Alaska Native,1002-5,Brain,31010,1-4 years,1-4,Male,M,79
,American Indian or Alaska Native,1002-5,Brain,31010,5-9 years,5-9,Female,F,63
,American Indian or Alaska Native,1002-5,Brain,31010,5-9 years,5-9,Male,M,88
,American Indian or Alaska Native,1002-5,Brain,31010,10-14 years,10-14,Female,F,52
,American Indian or Alaska Native,1002-5,Brain,31010,10-14 years,10-14,Male,M,77
,American Indian or Alaska Native,1002-5,Brain,31010,15-19 years,15-19,Female,F,52
,American Indian or Alaska Native,1002-5,Brain,31010,15-19 years,15-19,Male,M,62
,American Indian or Alaska Native,1002-5,Brain,31010,20-24 years,20-24,Female,F,38
,American Indian or Alaska Native,1002-5,Brain,31010,20-24 years,20-24,Male,M,55
,American Indian or Alaska Native,1002-5,Brain,31010,25-29 years,25-29,Female,F,77
,American Indian or Alaska Native,1002-5,Brain,31010,25-29 years,25-29,Male,M,74
,American Indian or Alaska Native,1002-5,Brain,31010,30-34 years,30-34,Female,F,62
,American Indian or Alaska Native,1002-5,Brain,31010,30-34 years,30-34,Male,M,94
,American Indian or Alaska Native,1002-5,Brain,31010,35-39 years,35-39,Female,F,70
,American Indian or Alaska Native,1002-5,Brain,31010,35-39 years,35-39,Male,M,77
,American Indian or Alaska Native,1002-5,Brain,31010,40-44 years,40-44,Female,F,75
,American Indian or Alaska Native,1002-5,Brain,31010,40-44 years,40-44,Male,M,84
,American Indian or Alaska Native,1002-5,Brain,31010,45-49 years,45-49,Female,F,68
,American Indian or Alaska Native,1002-5,Brain,31010,45-49 years,45-49,Male,M,96
,American Indian or Alaska Native,1002-5,Brain,31010,50-54 years,50-54,Female,F,87
,American Indian or Alaska Native,1002-5,Brain,31010,50-54 years,50-54,Male,M,106
,American Indian or Alaska Native,1002-5,Brain,31010,55-59 years,55-59,Female,F,108
,American Indian or Alaska Native,1002-5,Brain,31010,55-59 years,55-59,Male,M,137
,American Indian or Alaska Native,1002-5,Brain,31010,60-64 years,60-64,Female,F,84
,American Indian or Alaska Native,1002-5,Brain,31010,60-64 years,60-64,Male,M,117
,American Indian or Alaska Native,1002-5,Brain,31010,65-69 years,65-69,Female,F,96
,American Indian or Alaska Native,1002-5,Brain,31010,65-69 years,65-69,Male,M,126
,American Indian or Alaska Native,1002-5,Brain,31010,70-74 years,70-74,Female,F,67
,American Indian or Alaska Native,1002-5,Brain,31010,70-74 years,70-74,Male,M,97
,American Indian or Alaska Native,1002-5,Brain,31010,75-79 years,75-79,Female,F,64
,American Indian or Alaska Native,1002-5,Brain,31010,75-79 years,75-79,Male,M,92
,American Indian or Alaska Native,1002-5,Brain,31010,80-84 years,80-84,Female,F,36
,American Indian or Alaska Native,1002-5,Brain,31010,80-84 years,80-84,Male,M,49
,American Indian or Alaska Native,1002-5,Brain,31010,85+ years,85,Female,F,27
,American Indian or Alaska Native,1002-5,Brain,31010,85+ years,85,Male,M,22
,American Indian or Alaska Native,1002-5,Cranial Nerves Other Nervous System,31040,5-9 years,5-9,Male,M,16
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,< 1 year,1,Male,M,17
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,1-4 years,1-4,Female,F,18
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,1-4 years,1-4,Male,M,23
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,10-14 years,10-14,Female,F,21
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,10-14 years,10-14,Male,M,25
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,15-19 years,15-19,Female,F,119
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,15-19 years,15-19,Male,M,34
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,20-24 years,20-24,Female,F,246
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,20-24 years,20-24,Male,M,42
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,25-29 years,25-29,Female,F,400
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,25-29 years,25-29,Male,M,73
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,30-34 years,30-34,Female,F,498
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,30-34 years,30-34,Male,M,94
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,35-39 years,35-39,Female,F,587
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,35-39 years,35-39,Male,M,138
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,40-44 years,40-44,Female,F,563
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,40-44 years,40-44,Male,M,142
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,45-49 years,45-49,Female,F,551
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,45-49 years,45-49,Male,M,131
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,50-54 years,50-54,Female,F,534
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,50-54 years,50-54,Male,M,173
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,55-59 years,55-59,Female,F,414
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,55-59 years,55-59,Male,M,162
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,60-64 years,60-64,Female,F,355
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,60-64 years,60-64,Male,M,175
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,65-69 years,65-69,Female,F,251
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,65-69 years,65-69,Male,M,135
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,70-74 years,70-74,Female,F,189
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,70-74 years,70-74,Male,M,99
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,75-79 years,75-79,Female,F,123
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,75-79 years,75-79,Male,M,58
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,80-84 years,80-84,Female,F,70
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,80-84 years,80-84,Male,M,26
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,85+ years,85,Female,F,33
,American Indian or Alaska Native,1002-5,Endocrine System,32010-32020,85+ years,85,Male,M,18
,American Indian or Alaska Native,1002-5,Thyroid,32010,10-14 years,10-14,Female,F,19
,American Indian or Alaska Native,1002-5,Thyroid,32010,15-19 years,15-19,Female,F,115
,American Indian or Alaska Native,1002-5,Thyroid,32010,15-19 years,15-19,Male,M,25
,American Indian or Alaska Native,1002-5,Thyroid,32010,20-24 years,20-24,Female,F,242
,American Indian or Alaska Native,1002-5,Thyroid,32010,20-24 years,20-24,Male,M,37
,American Indian or Alaska Native,1002-5,Thyroid,32010,25-29 years,25-29,Female,F,397
,American Indian or Alaska Native,1002-5,Thyroid,32010,25-29 years,25-29,Male,M,62
,American Indian or Alaska Native,1002-5,Thyroid,32010,30-34 years,30-34,Female,F,485
,American Indian or Alaska Native,1002-5,Thyroid,32010,30-34 years,30-34,Male,M,87
,American Indian or Alaska Native,1002-5,Thyroid,32010,35-39 years,35-39,Female,F,577
,American Indian or Alaska Native,1002-5,Thyroid,32010,35-39 years,35-39,Male,M,126
,American Indian or Alaska Native,1002-5,Thyroid,32010,40-44 years,40-44,Female,F,556
,American Indian or Alaska Native,1002-5,Thyroid,32010,40-44 years,40-44,Male,M,126
,American Indian or Alaska Native,1002-5,Thyroid,32010,45-49 years,45-49,Female,F,535
,American Indian or Alaska Native,1002-5,Thyroid,32010,45-49 years,45-49,Male,M,122
,American Indian or Alaska Native,1002-5,Thyroid,32010,50-54 years,50-54,Female,F,514
,American Indian or Alaska Native,1002-5,Thyroid,32010,50-54 years,50-54,Male,M,158
,American Indian or Alaska Native,1002-5,Thyroid,32010,55-59 years,55-59,Female,F,399
,American Indian or Alaska Native,1002-5,Thyroid,32010,55-59 years,55-59,Male,M,145
,American Indian or Alaska Native,1002-5,Thyroid,32010,60-64 years,60-64,Female,F,332
,American Indian or Alaska Native,1002-5,Thyroid,32010,60-64 years,60-64,Male,M,161
,American Indian or Alaska Native,1002-5,Thyroid,32010,65-69 years,65-69,Female,F,237
,American Indian or Alaska Native,1002-5,Thyroid,32010,65-69 years,65-69,Male,M,124
,American Indian or Alaska Native,1002-5,Thyroid,32010,70-74 years,70-74,Female,F,175
,American Indian or Alaska Native,1002-5,Thyroid,32010,70-74 years,70-74,Male,M,76
,American Indian or Alaska Native,1002-5,Thyroid,32010,75-79 years,75-79,Female,F,111
,American Indian or Alaska Native,1002-5,Thyroid,32010,75-79 years,75-79,Male,M,52
,American Indian or Alaska Native,1002-5,Thyroid,32010,80-84 years,80-84,Female,F,61
,American Indian or Alaska Native,1002-5,Thyroid,32010,80-84 years,80-84,Male,M,25
,American Indian or Alaska Native,1002-5,Thyroid,32010,85+ years,85,Female,F,30
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,< 1 year,1,Male,M,17
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,1-4 years,1-4,Female,F,18
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,1-4 years,1-4,Male,M,22
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,40-44 years,40-44,Male,M,16
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,45-49 years,45-49,Female,F,16
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,50-54 years,50-54,Female,F,20
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,55-59 years,55-59,Male,M,17
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,60-64 years,60-64,Female,F,23
,American Indian or Alaska Native,1002-5,Other Endocrine including Thymus,32020,70-74 years,70-74,Male,M,23
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,1-4 years,1-4,Male,M,16
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,5-9 years,5-9,Female,F,17
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,5-9 years,5-9,Male,M,36
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,10-14 years,10-14,Female,F,39
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,10-14 years,10-14,Male,M,82
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,15-19 years,15-19,Female,F,82
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,15-19 years,15-19,Male,M,91
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,20-24 years,20-24,Female,F,124
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,20-24 years,20-24,Male,M,123
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,25-29 years,25-29,Female,F,95
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,25-29 years,25-29,Male,M,138
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,30-34 years,30-34,Female,F,135
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,30-34 years,30-34,Male,M,177
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,35-39 years,35-39,Female,F,140
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,35-39 years,35-39,Male,M,192
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,40-44 years,40-44,Female,F,167
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,40-44 years,40-44,Male,M,224
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,45-49 years,45-49,Female,F,245
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,45-49 years,45-49,Male,M,281
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,50-54 years,50-54,Female,F,344
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,50-54 years,50-54,Male,M,399
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,55-59 years,55-59,Female,F,455
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,55-59 years,55-59,Male,M,534
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,60-64 years,60-64,Female,F,472
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,60-64 years,60-64,Male,M,583
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,65-69 years,65-69,Female,F,525
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,65-69 years,65-69,Male,M,585
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,70-74 years,70-74,Female,F,485
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,70-74 years,70-74,Male,M,492
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,75-79 years,75-79,Female,F,428
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,75-79 years,75-79,Male,M,381
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,80-84 years,80-84,Female,F,318
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,80-84 years,80-84,Male,M,266
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,85+ years,85,Female,F,216
,American Indian or Alaska Native,1002-5,Lymphomas,33011-33042,85+ years,85,Male,M,146
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,10-14 years,10-14,Female,F,16
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,10-14 years,10-14,Male,M,24
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,15-19 years,15-19,Female,F,51
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,15-19 years,15-19,Male,M,48
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,20-24 years,20-24,Female,F,88
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,20-24 years,20-24,Male,M,70
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,25-29 years,25-29,Female,F,54
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,25-29 years,25-29,Male,M,67
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,30-34 years,30-34,Female,F,47
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,30-34 years,30-34,Male,M,61
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,35-39 years,35-39,Female,F,33
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,35-39 years,35-39,Male,M,47
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,40-44 years,40-44,Female,F,26
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,40-44 years,40-44,Male,M,41
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,45-49 years,45-49,Female,F,16
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,45-49 years,45-49,Male,M,37
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,50-54 years,50-54,Female,F,24
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,50-54 years,50-54,Male,M,48
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,55-59 years,55-59,Female,F,26
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,55-59 years,55-59,Male,M,42
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,60-64 years,60-64,Female,F,19
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,60-64 years,60-64,Male,M,34
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,65-69 years,65-69,Female,F,22
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,65-69 years,65-69,Male,M,38
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,70-74 years,70-74,Female,F,19
,American Indian or Alaska Native,1002-5,Hodgkin Lymphoma,33011-33012,70-74 years,70-74,Male,M,19
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,10-14 years,10-14,Female,F,16
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,10-14 years,10-14,Male,M,24
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,15-19 years,15-19,Female,F,51
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,15-19 years,15-19,Male,M,48
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,20-24 years,20-24,Female,F,88
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,20-24 years,20-24,Male,M,69
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,25-29 years,25-29,Female,F,54
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,25-29 years,25-29,Male,M,65
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,30-34 years,30-34,Female,F,46
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,30-34 years,30-34,Male,M,61
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,35-39 years,35-39,Female,F,32
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,35-39 years,35-39,Male,M,44
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,40-44 years,40-44,Female,F,26
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,40-44 years,40-44,Male,M,41
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,45-49 years,45-49,Female,F,16
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,45-49 years,45-49,Male,M,37
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,50-54 years,50-54,Female,F,24
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,50-54 years,50-54,Male,M,46
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,55-59 years,55-59,Female,F,24
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,55-59 years,55-59,Male,M,39
,American Indian or Alaska Native,1002-5,Hodgkin - Nodal,33011,60-64 years,60-64,Female,F,19
